ODS
1 FIN DE LA POBREZA
2 HAMBRE CERO
3 SALUD Y BIENESTAR
"4 EDUCACIÓN DE CALIDAD"
5 IGUALDAD DE GÉNERO
6 AGUA LIMPIA Y SANEAMIENTO
7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE
8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO
"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA"
10 REDUCCIÓN DE LAS DESIGUALDADES
11 CIUDADES Y COMUNIDADES SOSTENIBLES
12 PRODUCCIÓN Y CONSUMO RESPONSABLES
13 ACCIÓN POR EL CLIMA
14 VIDA SUBMARINA
15 VIDA DE ECOSISTEMAS TERRESTRES
"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS"
17 ALIANZAS PARA LOGRAR LOS OBJETIVOS
